,dates,opens,highs,lows,closes,PCT_RETURN,LOG_RETURNS,CUM_LOG_RETURNS,Base Volume BTC,Quote Volume USD,Trendline,SmoothPrice,HULL_55,HULL_180,HULL_55_TREND,HULL_180_TREND,SMA_20,SMA_50,SMA_100,SMA_200,SMA_Short_Term_Trend,SMA_Long_Term_Trend,SMA_Trend_Strength,EMA_20,EMA_50,EMA_100,EMA_200,EMA_Short_Term_Trend,EMA_Long_Term_Trend,EMA_Trend_Strength
896,2023-03-21 00:00:00+00:00,27822.85,28605.32,27414.77,28207.33,1.380173178470434,0.013707355266040139,0.9784769602131513,16193.18924882,"456,766,632.89",25588.290462180732,27938.855,24126.80316811826,24447.293260911596,Bull,Bull,23864.2335,23526.6204,21183.7167,19982.17185,Bull,Bull,Neutral,24887.311419858463,23444.226108201565,22114.06864047465,22151.49425494568,Bull,Bull,Neutral
897,2023-03-22 00:00:00+00:00,28201.22,28937.73,26678.16,27325.15,-3.1274849480613764,-0.031774349720337394,0.9467026104928139,33974.43697526,"928,356,586.51",26385.515469055837,27762.369000000006,24558.968711425474,24607.262462588078,Bull,Bull,24057.079,23610.5462,21284.851599999998,20019.62025,Bull,Bull,Neutral,25119.486522729087,23596.41920199758,22217.25837036624,22202.97341658801,Bull,Bull,Weak
898,2023-03-23 00:00:00+00:00,27324.05,28839.68,27189.19,28352.94,3.7613334236042517,0.03692320497457266,0.9836258154673866,26698.29660165,"756,975,201.65",27045.80314162459,27962.519,25005.852942486083,24777.89449925021,Bull,Bull,24356.817000000003,23702.8856,21390.6492,20061.3613,Bull,Bull,Neutral,25427.434472945362,23782.949429370226,22338.7570164976,22264.167113935393,Bull,Bull,Weak
899,2023-03-24 00:00:00+00:00,28352.95,28433.34,27027.88,27489.24,-3.0462449396782,-0.03093607312250104,0.9526897423448856,22190.91292623,"610,011,331.25",27517.174686543654,27787.341000000004,25428.764447871574,24951.989008461016,Bull,Bull,24613.7315,23782.793599999997,21487.4919,20099.8346,Bull,Bull,Neutral,25623.796904093422,23928.29415763022,22440.746778547153,22316.157888921112,Bull,Bull,Weak
900,2023-03-25 00:00:00+00:00,27489.24,27818.67,27184.78,27488.18,-0.003856054223405625,-3.856128571087758e-05,0.9526511810591747,9655.9494554,"265,424,476.70",27778.59263964164,27645.147000000004,25826.408619708996,25126.950238395686,Bull,Bull,24866.506,23863.886400000003,21588.794100000003,20143.32095,Bull,Bull,Neutral,25801.357198941667,24067.89752399766,22540.69595124919,22367.620795499013,Bull,Bull,Weak
901,2023-03-26 00:00:00+00:00,27489.56,28230.32,27445.04,27992.9,1.8361346586059923,0.018194812499566587,0.9708459935587412,9800.64299441,"274,348,419.28",27933.346478760053,27776.756,26209.93222276335,25303.16544755473,Bull,Bull,25145.635499999997,23957.167,21702.396699999998,20186.81785,Bull,Bull,Neutral,26010.07556094722,24221.819189723243,22648.660387858115,22423.593722906986,Bull,Bull,Weak
902,2023-03-27 00:00:00+00:00,27995.27,28053.26,26525.0,27142.87,-3.036591421396151,-0.030836509802690953,0.9400094837560503,17268.16335715,"468,707,513.14",27961.179527057295,27501.577999999998,26556.0908292706,25475.197259797715,Bull,Bull,25392.855000000003,24041.297599999998,21806.0029,20225.92285,Bull,Bull,Neutral,26117.960745618915,24336.370201890957,22737.654637603497,22470.551695813385,Bull,Bull,Weak
903,2023-03-28 00:00:00+00:00,27142.85,27519.99,26640.0,27274.15,0.48366292879125083,0.004824970374592835,0.9448344541306432,14103.92919115,"384,672,680.35",27900.479813540293,27399.919,26871.02083317014,25642.780088327294,Bull,Bull,25671.644,24131.499200000006,21911.332800000004,20255.4711,Bull,Bull,Neutral,26228.074007940922,24451.577252797197,22827.48622893808,22518.348693864995,Bull,Bull,Weak
904,2023-03-29 00:00:00+00:00,27274.18,28654.06,27255.42,28359.54,3.9795557331759213,0.039024114340307996,0.9838585684709511,17710.8595857,"502,271,830.86",27848.190243165456,27753.925,27187.92045191713,25809.942850163483,Bull,Bull,26071.270500000002,24233.796599999998,22030.5308,20289.011199999997,Bull,Bull,Neutral,26431.070769089405,24604.830693863973,22937.03184816703,22576.470000393703,Bull,Bull,Weak
905,2023-03-30 00:00:00+00:00,28359.54,29190.04,27693.7,28035.48,-1.1426842607461185,-0.011492630619782809,0.9723659378511683,20972.43924037,"587,972,400.87",27781.83892802491,27891.170999999995,27493.23504531712,25973.899516403526,Bull,Bull,26461.540499999996,24335.2186,22141.9091,20320.03,Bull,Bull,Weak,26583.87164822375,24739.36596077127,23037.991217510255,22630.788507852474,Bull,Bull,Weak
